fecha,cod_ine,CCAA,total,tipo,Pob_CCAA_2019,UCIS_Públicos,UCIS_Privados,UCI_Total
2020-02-27,01,Andalucía,1,casos,8414240,572,162,734
2020-02-28,01,Andalucía,6,casos,8414240,572,162,734
2020-02-29,01,Andalucía,8,casos,8414240,572,162,734
2020-03-01,01,Andalucía,12,casos,8414240,572,162,734
2020-03-02,01,Andalucía,12,casos,8414240,572,162,734
2020-03-03,01,Andalucía,13,casos,8414240,572,162,734
2020-03-04,01,Andalucía,13,casos,8414240,572,162,734
2020-03-05,01,Andalucía,12,casos,8414240,572,162,734
2020-03-06,01,Andalucía,21,casos,8414240,572,162,734
2020-03-07,01,Andalucía,27,casos,8414240,572,162,734
2020-03-08,01,Andalucía,35,casos,8414240,572,162,734
2020-03-09,01,Andalucía,54,casos,8414240,572,162,734
2020-03-10,01,Andalucía,71,casos,8414240,572,162,734
2020-03-11,01,Andalucía,90,casos,8414240,572,162,734
2020-03-12,01,Andalucía,115,casos,8414240,572,162,734
2020-03-13,01,Andalucía,219,casos,8414240,572,162,734
2020-03-14,01,Andalucía,269,casos,8414240,572,162,734
2020-03-15,01,Andalucía,437,casos,8414240,572,162,734
2020-03-16,01,Andalucía,554,casos,8414240,572,162,734
2020-03-17,01,Andalucía,683,casos,8414240,572,162,734
2020-03-18,01,Andalucía,859,casos,8414240,572,162,734
2020-03-19,01,Andalucía,1008,casos,8414240,572,162,734
2020-03-20,01,Andalucía,1287,casos,8414240,572,162,734
2020-03-21,01,Andalucía,1515,casos,8414240,572,162,734
2020-03-22,01,Andalucía,1725,casos,8414240,572,162,734
2020-03-23,01,Andalucía,1961,casos,8414240,572,162,734
2020-03-24,01,Andalucía,2471,casos,8414240,572,162,734
2020-03-25,01,Andalucía,3010,casos,8414240,572,162,734
2020-03-26,01,Andalucía,3406,casos,8414240,572,162,734
2020-03-27,01,Andalucía,3793,casos,8414240,572,162,734
2020-03-28,01,Andalucía,4277,casos,8414240,572,162,734
2020-03-29,01,Andalucía,4682,casos,8414240,572,162,734
2020-03-30,01,Andalucía,5405,casos,8414240,572,162,734
2020-03-31,01,Andalucía,5818,casos,8414240,572,162,734
2020-04-01,01,Andalucía,6392,casos,8414240,572,162,734
2020-04-02,01,Andalucía,6972,casos,8414240,572,162,734
2020-04-03,01,Andalucía,7374,casos,8414240,572,162,734
2020-04-04,01,Andalucía,7869,casos,8414240,572,162,734
2020-04-05,01,Andalucía,8301,casos,8414240,572,162,734
2020-04-06,01,Andalucía,8581,casos,8414240,572,162,734
2020-04-07,01,Andalucía,8767,casos,8414240,572,162,734
2020-04-08,01,Andalucía,8997,casos,8414240,572,162,734
2020-04-09,01,Andalucía,9261,casos,8414240,572,162,734
2020-04-10,01,Andalucía,9510,casos,8414240,572,162,734
2020-04-11,01,Andalucía,9712,casos,8414240,572,162,734
2020-04-12,01,Andalucía,10006,casos,8414240,572,162,734
2020-04-13,01,Andalucía,10187,casos,8414240,572,162,734
2020-04-14,01,Andalucía,10192,casos,8414240,572,162,734
2020-04-15,01,Andalucía,10595,casos,8414240,572,162,734
2020-02-27,02,Aragón,0,casos,1319291,113,22,135
2020-02-28,02,Aragón,1,casos,1319291,113,22,135
2020-02-29,02,Aragón,1,casos,1319291,113,22,135
2020-03-01,02,Aragón,0,casos,1319291,113,22,135
2020-03-02,02,Aragón,0,casos,1319291,113,22,135
2020-03-03,02,Aragón,0,casos,1319291,113,22,135
