Comunidades y Ciudades Autónomas	Sexo	Periodo	Total
Total	Total	2019	47.026.208
Total	Total	2018	46.722.980
Total	Total	2017	46.572.132
Total	Total	2016	46.557.008
Total	Total	2015	46.624.382
Total	Total	2014	46.771.341
Total	Total	2013	47.129.783
Total	Total	2012	47.265.321
Total	Total	2011	47.190.493
Total	Total	2010	47.021.031
Total	Total	2009	46.745.807
Total	Total	2008	46.157.822
Total	Total	2007	45.200.737
Total	Total	2006	44.708.964
Total	Total	2005	44.108.530
Total	Total	2004	43.197.684
Total	Total	2003	42.717.064
Total	Total	2002	41.837.894
Total	Total	2001	41.116.842
Total	Total	2000	40.499.791
Total	Total	1999	40.202.160
Total	Total	1998	39.852.651
Total	Total	1997	""
Total	Total	1996	39.669.394
Total	Hombres	2019	23.042.428
Total	Hombres	2018	22.896.602
Total	Hombres	2017	22.832.861
Total	Hombres	2016	22.843.610
Total	Hombres	2015	22.890.383
Total	Hombres	2014	22.985.676
Total	Hombres	2013	23.196.386
Total	Hombres	2012	23.298.356
Total	Hombres	2011	23.283.187
Total	Hombres	2010	23.226.185
Total	Hombres	2009	23.116.988
Total	Hombres	2008	22.847.737
Total	Hombres	2007	22.339.962
Total	Hombres	2006	22.100.466
Total	Hombres	2005	21.780.869
Total	Hombres	2004	21.285.247
Total	Hombres	2003	21.034.326
Total	Hombres	2002	20.564.089
Total	Hombres	2001	20.165.514
Total	Hombres	2000	19.821.384
Total	Hombres	1999	19.670.642
Total	Hombres	1998	19.488.465
Total	Hombres	1997	""
Total	Hombres	1996	19.399.549
Total	Mujeres	2019	23.983.780
Total	Mujeres	2018	23.826.378
Total	Mujeres	2017	23.739.271
Total	Mujeres	2016	23.713.398
Total	Mujeres	2015	23.733.999
Total	Mujeres	2014	23.785.665
Total	Mujeres	2013	23.933.397
Total	Mujeres	2012	23.966.965
Total	Mujeres	2011	23.907.306
Total	Mujeres	2010	23.794.846
Total	Mujeres	2009	23.628.819
Total	Mujeres	2008	23.310.085
Total	Mujeres	2007	22.860.775
Total	Mujeres	2006	22.608.498
Total	Mujeres	2005	22.327.661
Total	Mujeres	2004	21.912.437
